0,file:/D:/Document/thesis/paper/format/ALL paper/bib/output_abs/p1-kojima.txt,3,0.5480769276618958,9,0.19230769574642181,6,0.10576923191547394,4,0.03846153989434242,2,0.028846153989434242,5,0.028846153989434242,7,0.028846153989434242,0,0.01923076994717121,8,0.009615384973585606, 
1,file:/D:/Document/thesis/paper/format/ALL paper/bib/output_abs/p1-mau_uyen.txt,2,0.2183908075094223,5,0.16091954708099365,4,0.14942528307437897,3,0.09195402264595032,9,0.09195402264595032,7,0.06896551698446274,8,0.06896551698446274,0,0.05747126415371895,6,0.05747126415371895,1,0.03448275849223137, 
2,file:/D:/Document/thesis/paper/format/ALL paper/bib/output_abs/p10-choi.txt,6,0.7040358781814575,8,0.1031390130519867,9,0.053811658173799515,3,0.026905829086899757,2,0.022421523928642273,5,0.022421523928642273,0,0.017937220633029938,1,0.017937220633029938,4,0.017937220633029938,7,0.013452914543449879, 
3,file:/D:/Document/thesis/paper/format/ALL paper/bib/output_abs/p100-zhang.txt,5,0.27848100662231445,3,0.19620253145694733,0,0.10759493708610535,2,0.08227848261594772,6,0.08227848261594772,9,0.06962025165557861,7,0.0569620244204998,1,0.050632912665605545,4,0.050632912665605545,8,0.025316456332802773, 
4,file:/D:/Document/thesis/paper/format/ALL paper/bib/output_abs/p102-do.txt,7,0.43497759103775024,8,0.14798206090927124,2,0.12556053698062897,0,0.07174888253211975,3,0.05829596519470215,1,0.044843047857284546,6,0.04035874456167221,5,0.03139013424515724,4,0.022421523928642273,9,0.022421523928642273, 
5,file:/D:/Document/thesis/paper/format/ALL paper/bib/output_abs/p105-lo.txt,3,0.23404255509376526,1,0.1702127605676651,5,0.12765957415103912,7,0.10638298094272614,8,0.10638298094272614,2,0.08510638028383255,4,0.08510638028383255,0,0.042553190141916275,9,0.042553190141916275, 
6,file:/D:/Document/thesis/paper/format/ALL paper/bib/output_abs/p107-tran.txt,5,0.21212121844291687,7,0.1515151560306549,8,0.1515151560306549,0,0.09090909361839294,4,0.09090909361839294,1,0.07575757801532745,6,0.07575757801532745,3,0.06060606241226196,9,0.06060606241226196,2,0.03030303120613098, 
7,file:/D:/Document/thesis/paper/format/ALL paper/bib/output_abs/p110-de_silva.txt,7,0.6639344096183777,5,0.0901639312505722,8,0.05737704783678055,0,0.04918032884597778,2,0.04918032884597778,9,0.04098360612988472,1,0.032786883413791656,3,0.008196720853447914,4,0.008196720853447914, 
8,file:/D:/Document/thesis/paper/format/ALL paper/bib/output_abs/p113-phan.txt,8,0.21875,2,0.171875,1,0.15625,7,0.15625,4,0.109375,5,0.0625,3,0.046875,9,0.046875,0,0.03125, 
9,file:/D:/Document/thesis/paper/format/ALL paper/bib/output_abs/p115-prasad.txt,9,0.38372093439102173,4,0.11627907305955887,8,0.11046511679887772,1,0.08139535039663315,3,0.06976744532585144,2,0.05232558026909828,6,0.05232558026909828,0,0.04651162773370743,7,0.04651162773370743,5,0.040697675198316574, 
10,file:/D:/Document/thesis/paper/format/ALL paper/bib/output_abs/p118-fei.txt,4,0.44999998807907104,3,0.08749999850988388,8,0.08749999850988388,9,0.08749999850988388,6,0.07500000298023224,7,0.07500000298023224,0,0.05000000074505806,2,0.05000000074505806,5,0.03750000149011612, 
11,file:/D:/Document/thesis/paper/format/ALL paper/bib/output_abs/p120-vu.txt,6,0.46043166518211365,3,0.14388489723205566,1,0.0791366919875145,9,0.0791366919875145,4,0.06474819779396057,8,0.057553958147764206,0,0.04316546767950058,2,0.04316546767950058,7,0.02158273383975029,5,0.007194244768470526, 
12,file:/D:/Document/thesis/paper/format/ALL paper/bib/output_abs/p123-nguyen.txt,5,0.3333333432674408,4,0.20000000298023224,2,0.13333334028720856,7,0.13333334028720856,1,0.06666667014360428,3,0.06666667014360428,9,0.06666667014360428, 
13,file:/D:/Document/thesis/paper/format/ALL paper/bib/output_abs/p125-nguyen.txt,9,0.5185185074806213,6,0.14814814925193787,3,0.07407407462596893,4,0.07407407462596893,7,0.07407407462596893,2,0.03703703731298447,0,0.018518518656492233,1,0.018518518656492233,5,0.018518518656492233,8,0.018518518656492233, 
14,file:/D:/Document/thesis/paper/format/ALL paper/bib/output_abs/p129-manh.txt,9,0.3417721390724182,4,0.27848100662231445,3,0.1139240488409996,6,0.07594936341047287,1,0.06329113990068436,0,0.050632912665605545,2,0.037974681705236435,5,0.025316456332802773,8,0.012658228166401386, 
15,file:/D:/Document/thesis/paper/format/ALL paper/bib/output_abs/p129-nguyen.txt,5,0.31578946113586426,8,0.15037593245506287,9,0.10526315867900848,6,0.0827067643404007,1,0.07518796622753143,4,0.060150377452373505,0,0.05263157933950424,2,0.05263157933950424,3,0.05263157933950424,7,0.05263157933950424, 
16,file:/D:/Document/thesis/paper/format/ALL paper/bib/output_abs/p13-phuong.txt,5,0.2711864411830902,4,0.20338982343673706,9,0.12711864709854126,3,0.11016949266195297,8,0.08474576473236084,0,0.05932203307747841,6,0.050847455859184265,2,0.033898305147886276,7,0.033898305147886276,1,0.025423727929592133, 
17,file:/D:/Document/thesis/paper/format/ALL paper/bib/output_abs/p133-huynh.txt,3,0.2772277295589447,9,0.1782178282737732,4,0.11881188303232193,6,0.11881188303232193,0,0.0891089141368866,8,0.06930693238973618,2,0.049504950642585754,1,0.039603959769010544,5,0.029702970758080482,7,0.029702970758080482, 
